Year,State,Housing Approvals,Housing Approvals YoY Growth (%)
1983,Australia,12208.0,
1983,Australian Capital Territory,174.0,
1983,New South Wales,3454.0,
1983,Northern Territory,221.0,
1983,Queensland,2678.0,
1983,South Australia,1015.0,
1983,Tasmania,290.0,
1983,Victoria,3018.0,
1983,Western Australia,1360.0,
1984,Australia,13426.0,9.977064220183497
1984,Australian Capital Territory,257.0,47.70114942528736
1984,New South Wales,3534.0,2.316155182397228
1984,Northern Territory,235.0,6.334841628959276
1984,Queensland,2856.0,6.646751306945475
1984,South Australia,1284.0,26.502463054187196
1984,Tasmania,354.0,22.06896551724138
1984,Victoria,3306.0,9.542743538767407
1984,Western Australia,1601.0,17.720588235294123
1985,Australia,13245.0,-1.3481304930731408
1985,Australian Capital Territory,360.0,40.077821011673144
1985,New South Wales,3567.0,0.9337860780984641
1985,Northern Territory,208.0,-11.489361702127665
1985,Queensland,2614.0,-8.4733893557423
1985,South Australia,1082.0,-15.732087227414326
1985,Tasmania,362.0,2.259887005649719
1985,Victoria,3448.0,4.295220810647304
1985,Western Australia,1603.0,0.12492192379762734
1986,Australia,10468.0,-20.966402416006037
1986,Australian Capital Territory,253.0,-29.72222222222223
1986,New South Wales,2702.0,-24.250070086907762
1986,Northern Territory,108.0,-48.07692307692307
1986,Queensland,1851.0,-29.18898240244836
1986,South Australia,852.0,-21.25693160813309
1986,Tasmania,321.0,-11.325966850828728
1986,Victoria,2909.0,-15.632250580046403
1986,Western Australia,1470.0,-8.296943231441045
1987,Australia,10771.0,2.8945357279327455
1987,Australian Capital Territory,174.0,-31.225296442687743
1987,New South Wales,2971.0,9.955588452997777
1987,Northern Territory,145.0,34.25925925925925
1987,Queensland,2286.0,23.500810372771475
1987,South Australia,707.0,-17.018779342723
1987,Tasmania,285.0,-11.214953271028039
1987,Victoria,2716.0,-6.634582330697835
1987,Western Australia,1487.0,1.1564625850340127
1988,Australia,14997.0,39.23498282425031
1988,Australian Capital Territory,252.0,44.827586206896555
1988,New South Wales,4304.0,44.86704813194211
1988,Northern Territory,82.0,-43.44827586206896
1988,Queensland,3767.0,64.7856517935258
1988,South Australia,861.0,21.78217821782178
1988,Tasmania,318.0,11.578947368421044
1988,Victoria,3164.0,16.49484536082475
1988,Western Australia,2249.0,51.24411566913247
1989,Australia,13744.0,-8.355004334200178
1989,Australian Capital Territory,207.0,-17.85714285714286
1989,New South Wales,3925.0,-8.805762081784385
1989,Northern Territory,74.0,-9.756097560975608
1989,Queensland,3387.0,-10.087602867002921
1989,South Australia,965.0,12.078977932636459
1989,Tasmania,306.0,-3.7735849056603765
1989,Victoria,2998.0,-5.246523388116309
1989,Western Australia,1881.0,-16.36282792352156
1990,Australia,11066.0,-19.484866123399303
1990,Australian Capital Territory,206.0,-0.48309178743961567
1990,New South Wales,3333.0,-15.0828025477707
1990,Northern Territory,77.0,4.054054054054057
1990,Queensland,2661.0,-21.434898139946856
1990,South Australia,967.0,0.2072538860103723
1990,Tasmania,293.0,-4.248366013071891
1990,Victoria,2224.0,-25.817211474316217
1990,Western Australia,1305.0,-30.622009569377994
1991,Australia,11336.0,2.4399060184348453
1991,Australian Capital Territory,221.0,7.281553398058249
1991,New South Wales,3391.0,1.740174017401741
1991,Northern Territory,95.0,23.376623376623385
1991,Queensland,3081.0,15.783540022547914
1991,South Australia,929.0,-3.9296794208893537
1991,Tasmania,309.0,5.460750853242313
1991,Victoria,1994.0,-10.341726618705039
1991,Western Australia,1317.0,0.9195402298850519
1992,Australia,13659.0,20.492237120677494
1992,Australian Capital Territory,378.0,71.04072398190044
1992,New South Wales,3933.0,15.983485697434375
1992,Northern Territory,124.0,30.526315789473692
1992,Queensland,3748.0,21.6488153197014
1992,South Australia,986.0,6.135629709364898
1992,Tasmania,347.0,12.297734627831725
1992,Victoria,2358.0,18.254764292878644
1992,Western Australia,1785.0,35.53530751708429
1993,Australia,14965.0,9.56146130756277
1993,Australian Capital Territory,330.0,-12.698412698412698
1993,New South Wales,4160.0,5.771675565725909
1993,Northern Territory,131.0,5.645161290322576
1993,Queensland,4371.0,16.62219850586979
1993,South Australia,1020.0,3.4482758620689724
1993,Tasmania,344.0,-0.8645533141210415
1993,Victoria,2560.0,8.56658184902459
1993,Western Australia,2049.0,14.789915966386546
1994,Australia,16059.0,7.310390912128306
1994,Australian Capital Territory,311.0,-5.757575757575761
1994,New South Wales,4799.0,15.36057692307693
1994,Northern Territory,138.0,5.343511450381677
1994,Queensland,4509.0,3.157172271791353
1994,South Australia,953.0,-6.568627450980391
1994,Tasmania,310.0,-9.883720930232553
1994,Victoria,2847.0,11.210937499999996
1994,Western Australia,2193.0,7.027818448023426
1995,Australia,11515.0,-28.29565975465471
1995,Australian Capital Territory,198.0,-36.334405144694536
1995,New South Wales,3898.0,-18.774744738487183
1995,Northern Territory,127.0,-7.971014492753625
1995,Queensland,2826.0,-37.3253493013972
1995,South Australia,617.0,-35.25708289611752
1995,Tasmania,230.0,-25.806451612903224
1995,Victoria,2161.0,-24.09553916403232
1995,Western Australia,1458.0,-33.515731874145004
1996,Australia,10602.0,-7.9287885366912665
1996,Australian Capital Territory,165.0,-16.666666666666664
1996,New South Wales,3609.0,-7.414058491534115
1996,Northern Territory,144.0,13.38582677165354
1996,Queensland,2667.0,-5.62632696390658
1996,South Australia,475.0,-23.014586709886554
1996,Tasmania,181.0,-21.304347826086957
1996,Victoria,2040.0,-5.599259602036099
1996,Western Australia,1321.0,-9.396433470507548
1997,Australia,12278.0,15.80833804942463
1997,Australian Capital Territory,136.0,-17.575757575757578
1997,New South Wales,4278.0,18.536990856192848
1997,Northern Territory,168.0,16.666666666666675
1997,Queensland,2888.0,8.286464191976005
1997,South Australia,556.0,17.052631578947363
1997,Tasmania,149.0,-17.67955801104972
1997,Victoria,2720.0,33.33333333333333
1997,Western Australia,1383.0,4.693414080242242
1998,Australia,13172.0,7.281316175272856
1998,Australian Capital Territory,145.0,6.617647058823528
1998,New South Wales,4422.0,3.3660589060308554
1998,Northern Territory,201.0,19.64285714285714
1998,Queensland,2824.0,-2.216066481994461
1998,South Australia,648.0,16.546762589928065
1998,Tasmania,125.0,-16.10738255033557
1998,Victoria,3178.0,16.838235294117652
1998,Western Australia,1629.0,17.78741865509761
1999,Australia,14197.0,7.781658062556929
1999,Australian Capital Territory,176.0,21.379310344827584
1999,New South Wales,4518.0,2.170963364993206
1999,Northern Territory,154.0,-23.38308457711443
1999,Queensland,2675.0,-5.276203966005665
1999,South Australia,757.0,16.820987654320984
1999,Tasmania,133.0,6.400000000000006
1999,Victoria,3828.0,20.453115166771553
1999,Western Australia,1954.0,19.95089011663598
2000,Australia,11912.0,-16.094949637247304
2000,Australian Capital Territory,173.0,-1.7045454545454586
2000,New South Wales,3423.0,-24.236387782204517
2000,Northern Territory,93.0,-39.6103896103896
2000,Queensland,2508.0,-6.242990654205604
2000,South Australia,685.0,-9.5112285336856
2000,Tasmania,130.0,-2.2556390977443663
2000,Victoria,3447.0,-9.952978056426332
2000,Western Australia,1453.0,-25.63971340839304
2001,Australia,12590.0,5.691739422431152
2001,Australian Capital Territory,195.0,12.71676300578035
2001,New South Wales,3601.0,5.200116856558568
2001,Northern Territory,93.0,0.0
2001,Queensland,2543.0,1.3955342902711276
2001,South Australia,756.0,10.364963503649637
2001,Tasmania,131.0,0.7692307692307665
2001,Victoria,3711.0,7.658833768494344
2001,Western Australia,1559.0,7.295251204404685
2002,Australia,15019.0,19.29308975377284
2002,Australian Capital Territory,239.0,22.564102564102573
2002,New South Wales,4336.0,20.41099694529298
2002,Northern Territory,90.0,-3.2258064516129004
2002,Queensland,3408.0,34.01494298073142
2002,South Australia,958.0,26.71957671957672
2002,Tasmania,178.0,35.87786259541985
2002,Victoria,4088.0,10.15898679601186
2002,Western Australia,1721.0,10.391276459268761
2003,Australia,15082.0,0.41946867301418944
2003,Australian Capital Territory,216.0,-9.623430962343093
2003,New South Wales,4099.0,-5.465867158671589
2003,Northern Territory,83.0,-7.777777777777772
2003,Queensland,3623.0,6.308685446009399
2003,South Australia,970.0,1.2526096033402823
2003,Tasmania,230.0,29.21348314606742
2003,Victoria,3916.0,-4.207436399217224
2003,Western Australia,1947.0,13.13190005810576
2004,Australia,14295.0,-5.218140830128625
2004,Australian Capital Territory,237.0,9.722222222222232
2004,New South Wales,3730.0,-9.00219565747743
2004,Northern Territory,112.0,34.939759036144565
2004,Queensland,3463.0,-4.416229643941483
2004,South Australia,948.0,-2.268041237113405
2004,Tasmania,250.0,8.695652173913038
2004,Victoria,3581.0,-8.554647599591425
2004,Western Australia,1974.0,1.3867488443759735
2005,Australia,13154.0,-7.981811822315499
2005,Australian Capital Territory,166.0,-29.957805907172997
2005,New South Wales,3093.0,-17.077747989276137
2005,Northern Territory,115.0,2.678571428571419
2005,Queensland,3246.0,-6.266243141784578
2005,South Australia,920.0,-2.9535864978902926
2005,Tasmania,217.0,-13.200000000000001
2005,Victoria,3304.0,-7.7352694777995
2005,Western Australia,2094.0,6.07902735562309
2006,Australia,12932.0,-1.6876995590694888
2006,Australian Capital Territory,178.0,7.2289156626506035
2006,New South Wales,2737.0,-11.509860976398322
2006,Northern Territory,111.0,-3.4782608695652195
2006,Queensland,3272.0,0.800985828712264
2006,South Australia,962.0,4.565217391304355
2006,Tasmania,238.0,9.677419354838701
2006,Victoria,3187.0,-3.541162227602901
2006,Western Australia,2248.0,7.354345749761215
2007,Australia,13400.0,3.6189297865759418
2007,Australian Capital Territory,190.0,6.741573033707859
2007,New South Wales,2673.0,-2.3383266350018306
2007,Northern Territory,118.0,6.3063063063063085
2007,Queensland,3842.0,17.420537897310506
2007,South Australia,1004.0,4.365904365904361
2007,Tasmania,246.0,3.3613445378151363
2007,Victoria,3394.0,6.495136491998754
2007,Western Australia,1933.0,-14.012455516014233
2008,Australia,12500.0,-6.716417910447758
2008,Australian Capital Territory,220.0,15.789473684210531
2008,New South Wales,2416.0,-9.614665170220727
2008,Northern Territory,123.0,4.237288135593231
2008,Queensland,3084.0,-19.72930765226445
2008,South Australia,1099.0,9.462151394422303
2008,Tasmania,261.0,6.0975609756097615
2008,Victoria,3455.0,1.7972893341190233
2008,Western Australia,1843.0,-4.655975168132431
2009,Australia,12500.0,0.0
2009,Australian Capital Territory,303.0,37.72727272727272
2009,New South Wales,2344.0,-2.98013245033113
2009,Northern Territory,110.0,-10.569105691056912
2009,Queensland,2534.0,-17.833981841763947
2009,South Australia,1000.0,-9.008189262966336
2009,Tasmania,284.0,8.812260536398476
2009,Victoria,4104.0,18.784370477568736
2009,Western Australia,1821.0,-1.1937059142702156
2010,Australia,15163.0,21.303999999999988
2010,Australian Capital Territory,455.0,50.16501650165017
2010,New South Wales,3069.0,30.930034129692842
2010,Northern Territory,141.0,28.181818181818173
2010,Queensland,2901.0,14.48303078137332
2010,South Australia,1085.0,8.499999999999996
2010,Tasmania,267.0,-5.98591549295775
2010,Victoria,5228.0,27.387914230019494
2010,Western Australia,2017.0,10.763316858868755
2011,Australia,12813.0,-15.498252324737848
2011,Australian Capital Territory,459.0,0.879120879120876
2011,New South Wales,2869.0,-6.516780710329096
2011,Northern Territory,110.0,-21.98581560283688
2011,Queensland,2305.0,-20.54463977938642
2011,South Australia,838.0,-22.76497695852534
2011,Tasmania,213.0,-20.2247191011236
2011,Victoria,4358.0,-16.641162968630454
2011,Western Australia,1660.0,-17.699553792761524
2012,Australia,13140.0,2.552095527979392
2012,Australian Capital Territory,316.0,-31.154684095860564
2012,New South Wales,3236.0,12.79191355873126
2012,Northern Territory,160.0,45.45454545454546
2012,Queensland,2412.0,4.642082429501082
2012,South Australia,698.0,-16.70644391408115
2012,Tasmania,168.0,-21.126760563380287
2012,Victoria,4343.0,-0.34419458467186415
2012,Western Australia,1808.0,8.915662650602417
2013,Australia,15273.0,16.23287671232876
2013,Australian Capital Territory,400.0,26.582278481012665
2013,New South Wales,4098.0,26.63782447466008
2013,Northern Territory,191.0,19.375000000000007
2013,Queensland,2994.0,24.12935323383085
2013,South Australia,888.0,27.220630372492828
2013,Tasmania,158.0,-5.952380952380953
2013,Victoria,4153.0,-4.374856090260193
2013,Western Australia,2391.0,32.245575221238944
2014,Australia,17501.0,14.5878347410463
2014,Australian Capital Territory,328.0,-18.000000000000004
2014,New South Wales,4632.0,13.030746705710094
2014,Northern Territory,167.0,-12.565445026178013
2014,Queensland,3348.0,11.823647294589179
2014,South Australia,982.0,10.585585585585576
2014,Tasmania,213.0,34.810126582278485
2014,Victoria,5075.0,22.200818685287736
2014,Western Australia,2757.0,15.30740276035132
2015,Australia,19978.0,14.153476944174614
2015,Australian Capital Territory,349.0,6.4024390243902385
2015,New South Wales,5961.0,28.691709844559576
2015,Northern Territory,139.0,-16.766467065868262
2015,Queensland,4238.0,26.583034647550786
2015,South Australia,948.0,-3.462321792260692
2015,Tasmania,233.0,9.38967136150235
2015,Victoria,5722.0,12.748768472906402
2015,Western Australia,2388.0,-13.384113166485312
2016,Australia,19572.0,-2.032235459004905
2016,Australian Capital Territory,513.0,46.99140401146131
2016,New South Wales,6225.0,4.4287871162556725
2016,Northern Territory,106.0,-23.741007194244602
2016,Queensland,3982.0,-6.0405851816894724
2016,South Australia,1009.0,6.434599156118148
2016,Tasmania,181.0,-22.3175965665236
2016,Victoria,5730.0,0.13981125480602152
2016,Western Australia,1826.0,-23.53433835845896
2017,Australia,18717.0,-4.368485591661553
2017,Australian Capital Territory,362.0,-29.434697855750493
2017,New South Wales,6018.0,-3.3253012048192754
2017,Northern Territory,68.0,-35.84905660377359
2017,Queensland,3530.0,-11.351079859367152
2017,South Australia,1022.0,1.2884043607532147
2017,Tasmania,224.0,23.756906077348063
2017,Victoria,5864.0,2.338568935427565
2017,Western Australia,1630.0,-10.733844468784227
2018,Australia,17628.0,-5.818240102580541
2018,Australian Capital Territory,597.0,64.9171270718232
2018,New South Wales,5414.0,-10.036556995679625
2018,Northern Territory,61.0,-10.29411764705882
2018,Queensland,3325.0,-5.8073654390934815
2018,South Australia,986.0,-3.522504892367906
2018,Tasmania,256.0,14.28571428571428
2018,Victoria,5665.0,-3.393587994542979
2018,Western Australia,1325.0,-18.711656441717793
2019,Australia,14718.0,-16.50782845473111
2019,Australian Capital Territory,416.0,-30.318257956448914
2019,New South Wales,4314.0,-20.31769486516439
2019,Northern Territory,47.0,-22.95081967213115
2019,Queensland,2592.0,-22.04511278195489
2019,South Australia,968.0,-1.8255578093306246
2019,Tasmania,265.0,3.515625
2019,Victoria,4850.0,-14.386584289496906
2019,Western Australia,1266.0,-4.452830188679247
2020,Australia,15614.0,6.087783666258995
2020,Australian Capital Territory,415.0,-0.24038461538461453
2020,New South Wales,4272.0,-0.9735744089012566
2020,Northern Territory,58.0,23.404255319148938
2020,Queensland,2785.0,7.445987654320985
2020,South Australia,955.0,-1.342975206611574
2020,Tasmania,294.0,10.943396226415093
2020,Victoria,5291.0,9.092783505154634
2020,Western Australia,1542.0,21.800947867298582
2021,Australia,18975.0,21.525553990008973
2021,Australian Capital Territory,467.0,12.530120481927721
2021,New South Wales,5215.0,22.073970037453194
2021,Northern Territory,53.0,-8.62068965517241
2021,Queensland,3592.0,28.976660682226218
2021,South Australia,1231.0,28.90052356020942
2021,Tasmania,333.0,13.265306122448983
2021,Victoria,5952.0,12.492912492912488
2021,Western Australia,2132.0,38.26199740596628
