Year,Index,value
2003,HPI,70.3
2004,HPI,71.07499999999999
2005,HPI,72.375
2006,HPI,77.375
2007,HPI,85.525
2008,HPI,88.9
2009,HPI,92.5
2010,HPI,103.3
2011,HPI,101.075
2012,HPI,100.75
2013,HPI,107.425
2014,HPI,117.15
2015,HPI,127.725
2016,HPI,134.75
2017,HPI,146.0
2018,HPI,143.9
2019,HPI,138.05
2020,HPI,145.5
2021,HPI,170.85
2022,HPI,170.85
2023,HPI,170.85
2024,HPI,170.85
2003,WPI,80.7
2004,WPI,83.55
2005,WPI,86.95
2006,WPI,90.45
2007,WPI,94.2
2008,WPI,98.125
2009,WPI,101.575
2010,WPI,105.025
2011,WPI,108.95
2012,WPI,112.85
2013,WPI,116.075
2014,WPI,119.05
2015,WPI,121.7
2016,WPI,124.15
2017,WPI,126.625
2018,WPI,129.375
2019,WPI,132.35
2020,WPI,134.575
2021,WPI,137.2
2022,WPI,141.175
2023,WPI,146.675
2024,WPI,150.64999999999998
2003,CPI,78.94999999999999
2004,CPI,80.8
2005,CPI,82.975
2006,CPI,85.925
2007,CPI,87.925
2008,CPI,91.75
2009,CPI,93.375
2010,CPI,96.1
2011,CPI,99.275
2012,CPI,101.025
2013,CPI,103.5
2014,CPI,106.075
2015,CPI,107.675
2016,CPI,109.05
2017,CPI,111.175
2018,CPI,113.3
2019,CPI,115.125
2020,CPI,116.1
2021,CPI,119.425
2022,CPI,127.30000000000001
2023,CPI,134.425
2024,CPI,138.10000000000002
